Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen
Taalkracht,www.taalkracht.com,TERNEUZEN,Axelsestraat 76,4537 AM,2019-12-13,,,
Taalswitch BV,www.taalswitch.nl,Enschede,Hengelosestraat 60,7514 AJ,2022-04-18,,,
Taalthuis,www.taalthuis.nl,Haarlem,Lorentzplein 25,2012 HH,2022-03-22,,,
Tailor ICT Training BV,www.tailorit.nl,Tilburg,Spoorlaan 348,5038 CC,2020-10-01,,,
Take Off Support,https://www.takeoffsupport.nl,ARNHEM,Willemsplein 9,6811 KB,2022-05-03,,,
Talen Training Centrum B.V.,https://talentraining.nl,Soest,Burg. Grothestraat 61,3761 CL,2023-12-28,,,
Talent in Huis bv,www.talentinhuis.nl,UTRECHT,"Lumax gebouw, Ondiep Zuidzijde 6",3551 BW,2019-05-17,,,
TalentFirst Nederland,www.talentfirst.nl,Amsterdam,Javakade 77,1019SZ,2021-08-25,,,
TAT beroepsopleidingen Luchtvaart en Hospitality B.V.,https://opleidingstewardess.nl/,Leiden,Schipholweg 103,2316XC,2022-03-28,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Taxiwerq,www.taxiwerq.nl,Hoogeveen,Marconistraat 21,7903 AG,2021-11-15,,,
TCC,www.training-cursuscentrum.nl,ROTTERDAM,Driemanssteeweg 56,3084 CB,2013-05-01,,,
Team Academy/Schoolvision,www.teamacademy.nl,AMSTERDAM,Vlaardingenlaan 15-4,1062 HM,2016-04-19,,,
Teamchange,www.teamchange.nl,Amsterdam,Oosterdokskade 61,1011 DL,2022-04-18,,,
Teamwork Curacao,www.teamworkcaribbean.com,WILLEMSTAD - CURACAO,Scharlooweg 75, ,2017-07-20,,,
TechGrounds,https://techgrounds.nl/,Reeuwijk,Burgemeester Brachlaan 33,2811 BP,2020-10-30,,,
Technicom,www.technicom.nl,HOOGVLIET,Koddeweg 41,3194 DH,2017-07-20,,,
Technicom Opleidingen BV,www.technicom.nl,"Hoogvliet, Rotterdam",Koddeweg 41,3194 DH,2021-04-19,,,
Technisch Opleidingscentrum Zuid BV,www.technischopleidingscentrumzuid.nl,Kelpen-Oler,Ellerweg 17,6037 RR,2023-03-30,,,
Teelen ,www.Teelen.nl,WILP,Lathmerweg 5,7384 AD,2014-01-01,,,
Tele-Educatie,www.deverkeersacademie.nl,NIEUWEGEIN,Newtonbaan 2,3439 NK,2015-12-09,,,
Test CCI 13-12-2022,,,,,2025-12-23,,,
Tetrix Techniekopleidingen,https://www.tetrixtechniek.nl/,HEERHUGOWAARD,W.M. Dudokweg 66,1703 DC,2020-02-14,,,
Thai Hand,www.thai-hand.com,Amsterdam,Piri Reisplain 70,1057 KH,2024-02-10,,,
The Digital Learning Company,https://www.leerlijnkinderopvang.nl,Apeldoorn ,Vonderlaan 19,7313 AG,2023-01-30,,,
The Lean Six Sigma Company,www.theleansixcompany.nl,Rotterdan,Van Nelleweg 1,3944 BC,2023-11-01,,,
The Lean Six Sigma Company B.V.,https://www.theleansixsigmacompany.nl,Rotterdam,Van Nelleweg 1,3044 BC,2023-11-01,,,
The New School for Information Services,www.thenewschool.nl,AMSTERDAM,Jan Luykenstraat 98,1071 CV,2001-02-01,,,
The Square Mile (holding),www.thesquaremile.nl,Leiden,Johan de Wittstraat 41,2334 AN,2013-04-17,,,
The Square Mile Private Sector Training bv,https://www.thesquaremile.nl/,Leiden ,Johan de Wittstraat 41,23340 AN,2021-08-18,,,
The Square Mile Public sector Training bv,https://www.thesquaremile.nl/,Leiden,Johan de Wittstraat 41,23340 AN,2021-08-18,,,
The Wine & Food Academy BV,https://thewineacademy.nl/,Zeist ,Steynlaan 44,3701 EH ,2022-03-22,,,
Thim van der Laan B.V.,www.thim.nl,NIEUWEGEIN,Newtonbaan 6,3439 NK,2017-07-06,,,
Thinq Academy b.v.,www.thinqacademy.nl,Tilburg,Heraclesstraat 6,5048 CG,2022-02-11,,,
Ticken BV,www.ticken.nl,Baarn,Jacob van Lenneplaan 22,3743AR,2021-11-08,,,
Tim Koldenhof Producties B.V.,www.denederlandseacteurschool.nl,Apeldoorn,Vlijtseweg 140,7317 AK,2022-05-30,,,
TMO Fashion Business School,www.tmo.nl,DOORN,Driebergsestraatweg 11,3941 ZW,1995-04-24,,,
TopTaal,www.toptaal.nl,AMSTERDAM,Postbus 56808,1040 AV,2009-06-01,,,
TopTaal in het Bedrijf,www.taalinhetbedrijf.nl,AMSTERDAM,Zekeringstraat 44,1014 BT,2014-02-07,,,
Total Health Opleidingen BV,www.totalhealth.eu,Breda,Weidehek 34,4824 AS,2026-02-23,,,
ToZo-Skills,https://www.tozo-skills.nl/,Beek en Donk,Trentstraat 2a,5741 ST,2023-05-30,,,
Trafieq Educatie en advies ,www.trafieq.nl,Zeist,Bergweg 173a,3707 AC,2021-10-19,,,
Train2work,www.train2work.nl,Rijswijk,Lange Kleiweg 14,2288 GK,2016-04-19,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Trainjezelf.nl,https://www.precongroup.nl/training-en-e-learning/,BUNNIK,Regulierenring 16,3981 LB,2014-10-21,,,
Trainspot Office Leercentrum,www.trainspot.nl,Bunnik,Regulierenring 2,3981 LB,2016-02-24,,,
Transparant Training,www.transparanttraining.nl,BARENDRECHT,Noldijk 108,2991 VL,2018-01-01,,,
TSH vakopleidingen,www.tshvakopleidingen.nl,Emmen,Nijbracht 158,7821 CE,2020-09-30,,,
TSTC (Tshukudu Technology College BV) ,www.tstc.nl,Veenendaal,Plesmanstraat 62,3905 KZ,2021-03-26,,,
Tulp Training B.V.,www.tulptraining.nl,Rotterdam,Zuidplein 16,3083 CW,2023-03-27,,,
TWST,www.twst.nl,NAARDEN,Adriaan Dortsmanplein 3,1411 RC,2019-01-28,,,
U-Consultancy,www.uconsultancy.nl,NIEUWEGEIN,Edisonbaan 8,3439 MN ,2012-08-02,,,
UL-Team,www.ul-team.nl,CULEMBORG,Anthonie van Diemenstraat 19,4104 AD,2014-02-01,,,
Unique Label,https://businesscoaching.nl/,PAPENDRECHT,Johannes Bosboomstraat 3,3351VJ,2022-05-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
University of Applied Sciences Europe B.V. (vh Intercollege Business School),https://www.ue-amsterdam.com/nl,AMSTERDAM,Passeerdersgracht 23,1016 XG,2001-02-01,,,
UNLP,www.unlp.nl,'s Graveland,Noordereinde 56,1243 JJ,2021-11-29,,,
Use Your Talents B.V.,www.useyourtalents.nl,Breda,Kleine Hil 16,4822 AE,2022-08-31,,,
UvA Talen BV,www.uvatalen.nl,Amsterdam,Roetersstraat 25,1018 WB,2022-03-22,,,
V&B consulting,https://4dlean.nl,Barendrecht,Meerwedesingel 6,2993 TG,2023-04-28,,,
V-Kam Education B.V.,www.v-kam.nl ,Genemuiden,Spoelstraat 5n,8281 JT,2022-03-22,,,
VA School,www.vaschool.nl,Leiden,Haagweg 300,2324 NC,2022-03-22,,,
Vaarbewijsopleidingen (VBO),www.watersportcursussen.nl,Dongen,De Slof 10 J,5107 RJ,2014-08-05,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Vakschool Zorgwacht,www.zorgwacht.nl,UTRECHT,Zamenhofdreef 5,3562 JT,2017-03-10,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Vakwijs BV (vh Goflex),www.vakwijs.nl,SCHIEDAM,Daniel Pichotstraat 10,3115 JB,2013-06-21,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Van Buuren Transportopleidingen,https://www.vanbuuren.nl,Ermelo,Marionhoef 11,3851ST,2022-05-10,,,
Van Campen Consulting,https://vancampenconsulting.nl ,Zaltbommel,Hogeweg 37b,5301 LJ,2025-10-02,,,
Van der Burgt Opleidingen,www.vanderburgtopleidingen.nl,BADHOEVEDORP,Pa Verkuijllaan 2,1711 EE,2019-12-13,,,
Van Genderen Opleidingen,https://www.schematherapieopleidingen.nl ,Maastricht ,Burgemeester Ceulenstraat 102,6212 CV,2022-08-16,,,
Van Harte & Lingsma Management en Organisatie B.V.,www.vanhartelingsma.nl,Amstelveen,Burgemeester Haspelslaan 63,1181 NB ,2021-02-03,,,
Van Harte & Lingsma Management en Organisatie II B.V.,www.vanhartelingsma.nl,Amstelveen,Dorpsstraat 75,1182 JC,2025-07-01,,,
Van Kraaij Educatie,www.vankraaijeducatie.nl,Druten,Van Heemstraweg 53,6651 KH,2020-08-10,,,
Van Wees Opleidingen,www.vanweesopleidingen.nl,Uitgeest,Molenwerf 21L,1911 DB,2022-04-04,,,
VAPRO (holding),www.vapro.nl,Den Haag,"Loire 150 (Castellum, gedeelte C)",2491 AK,2021-02-18,,,
Vapro trainingen,www.vapro.nl,DEN HAAG,"Loire 150 (Castellum, gedeelte C)",2491 AK,2020-01-01,,,
Variva Edu Academy,www.variva.nl,Someren,Witvrouwenbergweg 12,5711 CN,2017-09-15,,,
VBOT bv,https://vbot.nl,Zoetermeer,Orfeoschouw 24,2726 JD,2024-12-18,,,
VCANederland,www.vcanederland.nl,APELDOORN,Wilmersdorf 50,7327 AC,2016-04-26,,,
VCM Opleiders,www.vcm-opleiders.nl,Liessel,Hoogdonkseweg 3,5757 PJ,2022-03-14,,,
VDS Training Consultants,www.vds.nl,Utrecht,Euclideslaan 257,3584 BV,2013-01-01,,,
Verbeta B.V.,www.verbeta.nl,Tilburg,Brugstraat 10,5042 SB,2022-04-18,,,
Verder in Techniek,https://www.verderintechniek.nl/,Doetinchem,Fabriekstraat 42,7005 AR,2021-11-29,,,
Vers Pers-Open Eyes,www.openeyesinstitute.org,AMSTERDAM,Overhoeksplein 2,1031 KS,2023-01-01,,,
Vervoerscollege Venlo BV,www.vervoerscollegevenlo.nl,VENLO,Vasco da Gamaweg 1,5928 LD,2018-03-25,,,
Vetami Education BV,www.vetami.nl,Kapel-Avezaath,Laageinde 3,4013 CT,2023-03-30,,,
VHIC (Van Heijst Information Consulting) Faculty B.V.,www.vhic.nl,RIJSWIJK,Polakweg 23,2288 GG,2018-06-11,,,
Vidarte,www.vidarte.nl,Vught,Bosscheweg 2A,5261 AA,2022-04-04,,,
Vijfhart IT- Trainingen B.V.,www.vijfhart.nl,Velp,Arnhemsestraatweg 33,6881 ND,2022-02-21,,,
Vijfhart IT-Opleidingen,www.vijfhart.nl,Velp,Arnhemsestraatweg 33,6881ND,2021-06-10,,,
VINE Instituut voor Verbindende Communicatie,www.vinetraining.nl,Doorn,Mariniersweg 3,3941 XK,2023-06-15,,,
Vinova Opleidingen B.V.,www.vinova.nl,Beugen,Zuster Bloemstraat 20,5835 DW,2025-07-24,,,
VIPD,www.vipd.nl,Steenwijk ,Stationsstraat 36B,8331 GK,2021-11-22,,,
Vitacademie,www.vitacademie.nl,Eindhoven,Beemdstraat 1,5653 MA,2021-08-05,,,
Vitalogisch,www.vitalogisch.nl,Eindhoven,Beemdstraat 1,5653 MA,2021-08-05,,,
Vlokhoven Opleidingen,http://www.vlokhovenopleidingen.nl,Breda,Charles Petitweg 7A 5,4827HJ,2025-12-11,,,
Volksuniversiteit Breda,www.volksuniversiteit-breda.nl,Breda,Molenstraat 6,4311 GS,2022-10-25,,,
Volksuniversiteit Utrecht ,www.volksuniversiteitutrecht.nl,Utrecht ,Nieuwegracht 41,3512 LE,2023-01-02,,,
Volver Sound Academy,www.volversoundacademy.nl,Tilburg,Frans Mannaertsstraat 14G,5011 EN,2022-03-14,,,
Volwassenen College,www.volwassenencollege.nl,Tytsjerk,Lytse Geast 69,9255 LJ,2020-04-17,,,
W en L Opleidingen,www.wenlopleidingen.nl,Kampen,Meeuwenplein 5,8261 WB,2022-02-11,,,
Wandelcoach.nl BV ,www.wandelcoach.nl,Grave,Violier 17,5361 MR,2014-06-27,,,
We Care College,https://wecarecollege.nl ,Helmond,Kanaaldijk ZW 67,5707 LC,2024-06-27,,,
We Support W. BV,https://equals.nl,Amsterdam,Keizersgracht,1016 EW,2025-01-08,,,
Weddingplanners International,http://www.theweddingplannersinstitute.com,Utrecht,Computerweg 22,3542 DR  ,2022-04-04,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Weld Point,www.weldpoint.nl,Beek,Schuttersstraat 27 D & E,6191 RZ,2021-11-29,,,
Welkin BV,www.welkinkinesiologiecollege.nl,Bilthoven ,Professor Bronkhorstlaan 10G86,3723 MB,2022-08-26,,,
Wellness Academie BV,www.wellnessacademie.com,Eindhoven,Stadhuisplein 10,5611 EM,2022-05-10,,,
WerkendLeren B.V.,www.werkendleren.nl,ALMELO,Burgemeester Raveslootsingel 2,7607 GK,2018-05-22,,,
Werkvloertaal ,www.werkvloertaal.nl,HELMOND,Pastoor van Leeuwenstraat 22a,5701 JV,2018-12-06,Inburgering,,
Westhaghe Nederland BV,www.westhaghe.com,Amsterdam,Kingsfordweg 151,1043 GR,2022-03-22,,,
WFT Xperience B.V. ,https://www.wftxperience.nl/,Capelle aan den IJssel ,Rietbaan 2-4,2905 LP  ,2022-05-01,,,
Wilde Kastanje Training & Opleiding,www.wildekastanje.nl,CULEMBORG,Goilberdingerstraat 2,4101 BP,2011-02-03,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Wille Coaching B.V.,www.willevoorjeloopbaan.nl,Amsterdam ,Daalwijkdreef 47,1103 AD,2023-01-02,,,
Winc Academy,https://wincacademy.nl,Amsterdam,van de Sande Bakhuijzenstraat 4,1061 AG,2020-06-25,,,
Winford College BV,www.winford.nl,UTRECHT,Nieuwegracht 69A,3512 LG,2018-01-01,,,
Wittenborg University of Applied Sciences,www.wittenborg.eu,APELDOORN,Brinklaan 268,7311 JD,2004-01-01,,,
WR College,www.wr-college.nl,Purmerend,Impuls 22,1446 WX,2025-01-01,,,
WWZ Academie,www.wwz-academie.nl,Rotterdam,Burgemeester Hazenberglaan 401,3078 HG,2020-10-14,,,
XL10 ,,HENGELO,Welbergweg 92,7556 PE,2022-02-01,,,
YEARTH Academy,www.yearth.nl,NAARDEN,Gooimeer 9,1411 DD,2016-11-01,,,
Yellow Research,www.yellowresearch.nl,AMSTERDAM,Veemkade 240,1019 HD ,2015-01-05,,,
Ynnergy,www.ynnergy.nl,Den Bosch,Vivaldistraat 35,5216EK,2022-03-28,,,
Zakelijk schrijven,www.zakelijkschrijven.nl,Den Haag,Bezuidenhoutseweg 187,2594 AH,2020-11-16,,,
Zelforganisatie Fabriek B.V.,www.zelforganisatiefabriek.nl,Amsterdam ,HJE Wenckebachweg 123,1096 AM,2022-09-15,,,
Zes Boutique,https://www.zes-maastricht.com/education,,,,2026-01-07,,,
Ziggurat Taaltrainingen,www.ziggurattaaltrainingen.nl,GRONINGEN,Atoomweg 2,9743 AK,2013-01-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Zorg & Werk Academy,www.zorgenwerk.nl,EDE,Galvanistraat 1,6716 AE,2014-04-14,,,
Zorgcampus Rotterdam B.V.,www.zorgcampus.nl,ROTTERDAM,Mathenesserlaan 480,3023 HL,2018-09-25,,,
Zpits,www.zpits.nl,Rotterdam,Rotterdam Airportplein 55,3045 AP,2021-10-01,,,
Özel opleidingen,www.ozelopleidingen.nl,Rotterdam,Vlaardingweg 36,3044 CK,2021-08-25,,,
