Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen
Nederlands de Baas b.v.,https://nederlandsdebaas.nl/,Nijmegen,Couwenbergstraat 143,6535 RX,2022-04-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Nederlandse Academie voor Beeldcreatie (NAVB),www.navb.nl,APELDOORN,Spoorstraat 27,7311 PE,2013-03-29,,,,ok,0,0,0,
NedLes,www.nedles.nl,AMSTERDAM,Derde Oosterparkstraat 271,1092 EA,2018-11-02,,,,ok,0,0,0,
New Heroes BV,www.newheroes.nl,Zaltbommel,Van Heemstraweg West 5,5301PA,2020-09-30,,,,ok,0,0,0,
NLtraining,www.nltraining.nl,AMSTERDAM,Tt. Vasumweg 122,1033 SH,2019-02-06,,,,ok,0,0,0,
Nobbe Mieras trainingen B.V. ,www.nobbemieras.nl,Arnhem,De la Reijstraat 2,6814 AE,2019-02-25,,,,ok,0,4,4,+beoordeling +meerdaagse leergang|leerga -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Noorda en Co,www.noordaenco.nl,AMSTERDAM,Cannenburg 36,1081 HA,2011-01-04,,,,ok,0,0,0,
Normec Foodcare Training & Education B.V,www.normecfoodcare.com,,Balkweg 3,5232 BT,2021-12-05,,,,ok,0,0,0,
oCaro (holding),www.ocaro.nl,Loenen,Hoofdweg 74,7371 AK,2020-08-10,,,,ok,0,0,0,
oCaro college bv,www.ocaro.nl,Loenen,Hoofdweg 74,7371 AK,2020-09-30,,,,ok,0,0,0,
OCICT,www.ocict.nl,Apeldoorn,Jean Monnetpark 43,7336 BB,2020-10-13,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Odyssee,www.odyssee-groep.nl,DOORN,Amersfoortseweg 98,3941 EP,2013-01-01,,,,ok,0,0,0,
Open Studio,www.openstudio.nl,Amsterdam,Keienbergweg 109 B,1101 GG,2010-11-20,,,,ok,0,0,0,
Opleidingsinstituut Beeckestijn Business School,www.beeckestijn.org ,Leusden ,Leusderend 30,3832 RC ,2020-09-01,,,,ok,0,3,3,+post-?hbo -eendaagse|1-?daagse|tweeda
PAIR,www.pair-taal.nl,Utrecht ,Europalaan 2,3526 KS,2022-10-20,,,,ok,0,0,0,
Pebblz,www.pebblz.nl,DORDRECHT,Calandstraat 24 B,3316 EA,2018-08-24,,,,ok,0,0,0,
Praktijkcampus B.V. (vh Leerbouwen),www.praktijkcampus.nl,Groningen,Euvelgunnerweg 25a,9723 CV,2022-03-28,,,,ok,0,0,0,
Précon Consulting Group,www.precongroup.com,BUNNIK,Regulierenring 16a,3981 LB,2014-10-21,,,,ok,0,0,0,
Psy-zo! Onderwijs,www.psy-onderwijs.nl,Groningen,Zernikepark 12,9747 AN,2022-05-03,,,,ok,0,0,0,
Quality Communication Taaltrainingen B.V.,www.qualitycommunication.nl,Voorthuizen,Tromplaan 10,3781 TE,2022-01-23,,,,ok,0,0,0,
Real Estate Business School (REBS),www.rebs.nl,HILVERSUM,Larenseweg 32 A3, 1221 CN,2017-05-15,,,,ok,0,0,0,
REASeuro,www.reaseuro.com,Riel,Vijfhuizenbaan 1b,5133 NH,2019-07-01,,,,ok,0,0,0,
RedFoxBlue B.V.,www.redfoxblue.nl,Haarlem,Wagenweg 204,2012 NM ,2022-02-11,,,,ok,0,0,0,
Response Instituut B.V.,https://response-instituut.nl/ ,Venlo,Venrayseweg 32,5928NZ,2021-11-29,,,,ok,0,0,0,
RMMBR bv,www.rmmbr.com,AMSTERDAM,Hoogoorddreef 56a,1100 BE,2016-05-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,,,ok,0,0,0,
SBI Formaat,www.sbi.nl,DOORN,Amersfoortseweg 98,3941 EP,2013-01-01,,,,ok,0,0,0,
SILK PMU,https://silkpmu.nl,Huissen,Langestraat 31,6831 AL,2025-07-17,,,,ok,0,3,3,+portfolio +crkbo -eendaagse|1-?daagse|tweeda
Siss Trainingen B.V. ,www.sisstrainingen.nl,Reeuwijk,Korssendijk 17,2811 HK,2022-04-04,,,,ok,0,1,1,+crkbo -incompany training(?!s?pro
Sociaal Opleidingsinstituut,https://so-i.nl,Amsterdam,Bastenakenstraat 111,1066JB,2023-05-17,,,,ok,0,1,1,+crkbo -incompany training(?!s?pro
Sonnevelt Opleidingen B.V.,www.sonneveltopleidingen.nl,Hedel,Architronlaan 2-60A,5321JJ,2014-12-10,,,,ok,0,0,0,
SpiralTrain ,www.spiraltrain.nl,Houten,"Standerdmolen 10, 2e verdieping",3995 AA,2021-08-05,,,,ok,0,0,0,
Startel,www.startel.nl,Drachten,Kraaiheide 17,9202 PC,2021-01-21,,,,ok,0,0,0,
Stavoor,www.stavoor.nl,Helvoirt,Guldenberg 12,5268 KR,2013-01-01,,,,ok,0,0,0,
Stichting Actuarieel Instituut,www.actuarieelinstituut.nl,UTRECHT,Groenewoudsedijk 80,3528 BK,2018-05-02,,,,ok,0,0,0,
Stichting Codam,www.codam.nl,Amsterdam,Kattenburgerstraat 5 (gebouw 039),1018JA,2021-01-27,,,,ok,0,0,0,
Stichting ICT Tribe Almere,https://icttribe.nl,Almere,Straat van Florida 1,1334 PA ,2026-02-20,,,,ok,0,0,0,
Stichting Klassieke Academie ,www.klassiekeacademie.nl,Groningen,Akerkhof 43 c,9712BC,2022-04-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Stichting Leer Unique ,www.leerunique.nl,Rotterdam,Griendwerkerstraat 52,3068 GZ,2023-02-01,,,,ok,0,0,0,
Stichting Medische Opleidingen Nederland,www.medischeopleidingen.nl,Rotterdam,Berglustlaan 44,3054 BJ,2022-03-14,,,,ok,0,0,0,
Stichting Railcenter,www.railcenter.nl,Amersfoort,Soesterweg 244,3812 BH,2026-04-16,,,,ok,0,0,0,
Stichting Wijnacademie,www.wijnacademie.nl,Soesterberg,Amersfoortsestraat 18,3769 AR ,2022-06-13,,,,ok,0,0,0,
STODT,www.stodt.nl,HENGELO,Gieterij 212,7553 VZ,2010-04-29,,,,ok,0,0,0,
Taalcentrum-VU,www.taalcentrum-vu.nl,AMSTERDAM,De Boelelaan 1177,,2009-06-01,,,,ok,0,3,3,+toetsing -eendaagse|1-?daagse|tweeda
Taalkracht,www.taalkracht.com,TERNEUZEN,Axelsestraat 76,4537 AM,2019-12-13,,,,ok,0,0,0,
Taalthuis,www.taalthuis.nl,Haarlem,Lorentzplein 25,2012 HH,2022-03-22,,,,ok,0,1,1,+crkbo -incompany training(?!s?pro
Talent in Huis bv,www.talentinhuis.nl,UTRECHT,"Lumax gebouw, Ondiep Zuidzijde 6",3551 BW,2019-05-17,,,,ok,0,0,0,
Teamchange,www.teamchange.nl,Amsterdam,Oosterdokskade 61,1011 DL,2022-04-18,,,,ok,0,0,0,
Teamwork Curacao,www.teamworkcaribbean.com,WILLEMSTAD - CURACAO,Scharlooweg 75, ,2017-07-20,,,,ok,0,0,0,
TechGrounds,https://techgrounds.nl/,Reeuwijk,Burgemeester Brachlaan 33,2811 BP,2020-10-30,,,,ok,0,0,0,
Thim van der Laan B.V.,www.thim.nl,NIEUWEGEIN,Newtonbaan 6,3439 NK,2017-07-06,,,,ok,0,0,0,
TopTaal,www.toptaal.nl,AMSTERDAM,Postbus 56808,1040 AV,2009-06-01,,,,ok,0,0,0,
TSH vakopleidingen,www.tshvakopleidingen.nl,Emmen,Nijbracht 158,7821 CE,2020-09-30,,,,ok,0,0,0,
TWST,www.twst.nl,NAARDEN,Adriaan Dortsmanplein 3,1411 RC,2019-01-28,,,,ok,0,0,0,
UL-Team,www.ul-team.nl,CULEMBORG,Anthonie van Diemenstraat 19,4104 AD,2014-02-01,,,,ok,0,0,0,
UNLP,www.unlp.nl,'s Graveland,Noordereinde 56,1243 JJ,2021-11-29,,,,ok,0,3,3,+post-?hbo -eendaagse|1-?daagse|tweeda
V-Kam Education B.V.,www.v-kam.nl ,Genemuiden,Spoelstraat 5n,8281 JT,2022-03-22,,,,ok,0,17,17,+\bscriptie\b +eindopdracht +portfolio +beoordeling +studiebelasting +diploma -\bvca\b -\bbhv\b -certificaat van deelname|b -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
VA School,www.vaschool.nl,Leiden,Haagweg 300,2324 NC,2022-03-22,,,,ok,0,0,0,
Vakschool Zorgwacht,www.zorgwacht.nl,UTRECHT,Zamenhofdreef 5,3562 JT,2017-03-10,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Vakwijs BV (vh Goflex),www.vakwijs.nl,SCHIEDAM,Daniel Pichotstraat 10,3115 JB,2013-06-21,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,4,4,+studiebelasting +diploma -\bvca\b
VBOT bv,https://vbot.nl,Zoetermeer,Orfeoschouw 24,2726 JD,2024-12-18,,,,ok,0,0,0,
VDS Training Consultants,www.vds.nl,Utrecht,Euclideslaan 257,3584 BV,2013-01-01,,,,ok,0,0,0,
Verder in Techniek,https://www.verderintechniek.nl/,Doetinchem,Fabriekstraat 42,7005 AR,2021-11-29,,,,ok,0,0,0,
Vijfhart IT- Trainingen B.V.,www.vijfhart.nl,Velp,Arnhemsestraatweg 33,6881 ND,2022-02-21,,,,ok,0,0,0,
Volksuniversiteit Utrecht ,www.volksuniversiteitutrecht.nl,Utrecht ,Nieuwegracht 41,3512 LE,2023-01-02,,,,ok,0,0,0,
Volwassenen College,www.volwassenencollege.nl,Tytsjerk,Lytse Geast 69,9255 LJ,2020-04-17,,,,ok,0,0,0,
We Care College,https://wecarecollege.nl ,Helmond,Kanaaldijk ZW 67,5707 LC,2024-06-27,,,,ok,0,0,0,
We Support W. BV,https://equals.nl,Amsterdam,Keizersgracht,1016 EW,2025-01-08,,,,ok,0,0,0,
Weld Point,www.weldpoint.nl,Beek,Schuttersstraat 27 D & E,6191 RZ,2021-11-29,,,,ok,0,0,0,
WerkendLeren B.V.,www.werkendleren.nl,ALMELO,Burgemeester Raveslootsingel 2,7607 GK,2018-05-22,,,,ok,0,0,0,
Werkvloertaal ,www.werkvloertaal.nl,HELMOND,Pastoor van Leeuwenstraat 22a,5701 JV,2018-12-06,Inburgering,,,ok,0,0,0,
Yellow Research,www.yellowresearch.nl,AMSTERDAM,Veemkade 240,1019 HD ,2015-01-05,,,,ok,0,0,0,
Zakelijk schrijven,www.zakelijkschrijven.nl,Den Haag,Bezuidenhoutseweg 187,2594 AH,2020-11-16,,,,ok,0,0,0,
Zelforganisatie Fabriek B.V.,www.zelforganisatiefabriek.nl,Amsterdam ,HJE Wenckebachweg 123,1096 AM,2022-09-15,,,,ok,0,0,0,
Ziggurat Taaltrainingen,www.ziggurattaaltrainingen.nl,GRONINGEN,Atoomweg 2,9743 AK,2013-01-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Academie voor Vastgoed,www.academievoorvastgoed.nl,Utrecht,Orteliuslaan 951,3528 BE,2026-02-20,,,,ok,-1,10,11,+toetsing +studiebelasting +herkansing +diploma -het oranje kruis|certech|i -exameninstituut|extern exa
Boerma Instituut International Floral Design School Holland,www.boerma.nl,AALSMEER,Legmeerdijk 227,1432 KA,2010-08-25,,,,ok,-1,2,3,+beoordeling -eendaagse|1-?daagse|tweeda
Brain Box Mediatraining BV,https://www.brain-box.nl/,HILVERSUM,Mozartlaan 27c,1217 CM,2018-05-18,,,,ok,-1,2,3,+diploma -eendaagse|1-?daagse|tweeda
Coöperatie Schoonderwoerd en Partners,https://schoonderwoerd.nl/,Utrecht,Park Oog in Al 1,3533 HE,2021-11-15,,,,ok,-1,0,1,-incompany training(?!s?pro
De Corporatie Academie B.V.,https://www.decorporatie-academie.nl,Nijkerk,Berencamperweg 8,3861 MC,2024-03-28,,,,ok,-1,0,1,-incompany training(?!s?pro
DeZorgacademy,www.dezorgacademy.nl,Zeist ,Driebergseweg 16C,3708 JB,2022-09-26,,,,ok,-1,4,5,+studiebelasting +meerdaagse leergang|leerga -certificaat van deelname|b
Excellent Trainingen ,www.excellenttrainers.nl,APELDOORN,Gardenierslaan 3,7314 CS,2020-10-10,,,,ok,-1,8,9,+praktijkopdracht +studiebelasting +diploma -certificaat van deelname|b -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Extra Trainers,www.extratrainers.nl,Almere,Zinkstraat 1d,1362 JX,2022-02-11,,,,ok,-1,2,3,+beoordeling -eendaagse|1-?daagse|tweeda
Fairfield,www.fair-field.nl,EINDHOVEN,Luchthavenweg 81,5657 EA,2017-12-01,,,,ok,-1,0,1,-incompany training(?!s?pro
FiAC,www.fiac.nl,NOORDWIJKERHOUT,Gieterij 50,2211 XK,2010-06-03,,,,ok,-1,6,7,+beoordeling +studiebelasting +meerdaagse leergang|leerga -\bbhv\b -bedrijfshulpverlening
FOI B.V.,www.foi.nl,Bilthoven,Rembrandtlaan 1B,3723 BG,2024-01-01,,,,ok,-1,4,5,+beoordeling +diploma -certificaat van deelname|b
GITP Ontwikkeling BV (vh training en opleiding),www.gitp.nl,ROTTERDAM,Oostmaaslaan 53,3063 AN,2013-01-01,,,,ok,-1,0,1,-incompany training(?!s?pro
Gundelach Organisatieadvies B.V.,www.gundelach.nl,Den Haag,"Zeestraat 100, Z3-4",2518 AD,2023-08-16,,,,ok,-1,0,1,-incompany training(?!s?pro
Helder Groep Veenendaal B.V.,https://www.wijzijnhelder.nl,Veenendaal,Eikenlaan 5,3901 XA,2025-03-13,,,,ok,-1,0,1,-incompany training(?!s?pro
IPOL BV,www.ipol.nl,ROTTERDAM,Edmond Hellenraadstraat 100,3067 NT,2025-06-10,,,,ok,-1,4,5,+diploma +meerdaagse leergang|leerga -exameninstituut|extern exa
Language Helps,www.languagehelps.nl/nl/,Amsterdam,Keizersgracht 391 a,1016 EJ,2023-04-13,,,,ok,-1,0,1,-incompany training(?!s?pro
Language Institute Regina Coeli,www.reginacoeli.nl,VUGHT,Martinilaan 12,5262 BR,2009-06-01,,,,ok,-1,0,1,-incompany training(?!s?pro
Laurentius College,www.stewardesscollege.nl,SCHIPHOL,Evert van de Beekstraat 39,1118 CL,2009-11-17,,,,ok,-1,2,3,+diploma -eendaagse|1-?daagse|tweeda
Lexicon Trainingen,www.lexicon.nl,HAARLEM,Mauritsstraat 1,2011 VN,2012-09-07,,,,ok,-1,0,1,-incompany training(?!s?pro
Lighting Design Academy (handelsnaam Poncius),www.lightingdesignacademy.org,Amersfoort,Grote Haag 11,3811 NH,2022-03-22,,,,ok,-1,2,3,+diploma -eendaagse|1-?daagse|tweeda
Merlijn B.V.,www.merlijngroep.nl,'s-Hertogenbosch,Veemarktkade 8 ruimte 1019,5222 AE,2026-05-11,,,,ok,-1,2,3,+beoordeling -eendaagse|1-?daagse|tweeda
NIOW De Taal- en Functiegerichte trainingen ,www.niow.nl,ZEIST,De Dreef 21, ,2021-09-20,,,,ok,-1,0,1,-incompany training(?!s?pro
NIOW De Taal- en tekstexperts,www.niow.nl,ZEIST,De Dreef 21,3706 BR,2016-04-01,,,,ok,-1,0,1,-incompany training(?!s?pro
Orlemans & Orlemans,www.orlemans.nl,NIJMEGEN,St. Annastraat 291,6525 GT,2013-01-01,,,,ok,-1,0,1,-incompany training(?!s?pro
Patagonia Opleidingen,https://www.patagonia-opleidingen.com/,Hendrik-Ido-Ambacht,Langesteijn 110,3342 LG  ,2020-02-25,,,,ok,-1,0,1,-incompany training(?!s?pro
Regina Coeli Language Courses B.V.,www.reginacoeli.nl,Vught,Martinilaan 12,5262 BR,2009-05-19,,,,ok,-1,0,1,-incompany training(?!s?pro
Schoonderwoerd Academy B.V.,https://schoonderwoerd.nl/,Utrecht,Park Oog in Al 1,3533 HE,2024-08-22,,,,ok,-1,0,1,-incompany training(?!s?pro
Stichting miMakkus,www.mimakkus.nl,EINDHOVEN,Iepenlaan 40,5616 NS,2015-01-01,,,,ok,-1,0,1,-incompany training(?!s?pro
Stichting Wateropleidingen,www.wateropleidingen.nl,Nieuwegein,Groningenhaven 7,3430 BK,2022-03-11,,,,ok,-1,2,3,+beoordeling -eendaagse|1-?daagse|tweeda
Subconscious Impact BV,https://www.subconsciousimpact.com,Baarn,Cantonlaan 6,3742CH,2022-05-03,,,,ok,-1,2,3,+studiebelasting -eendaagse|1-?daagse|tweeda
TA academie,www.ta-academie.nl,Zeist,Arnhemse Bovenweg 140,3708 AH,2022-03-22,,,,ok,-1,2,3,+meerdaagse leergang|leerga -eendaagse|1-?daagse|tweeda
Train2work,www.train2work.nl,Rijswijk,Lange Kleiweg 14,2288 GK,2016-04-19,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-1,2,3,+beoordeling -eendaagse|1-?daagse|tweeda
Transparant Training,www.transparanttraining.nl,BARENDRECHT,Noldijk 108,2991 VL,2018-01-01,,,,ok,-1,6,7,+portfolio +leeruitkomsten -\bbhv\b -ehbo
Bureau Zuidema,www.zuidema.nl,LEUSDEN,Olmenlaan 4,3833 AV,2015-01-01,,,,ok,-2,2,4,+beoordeling -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Danner & Danner,www.dannerendanner.nl,HILVERSUM,"Gebouw Noorderhaeve, Noorderweg 68",1221 AB,2019-01-01,,,,ok,-2,2,4,+diploma -\bvca\b
Debatrix,www.debatrix.com,Rotterdam,Westersingel 109,3015 LD,2022-03-08,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-2,2,4,+beoordeling -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
ENVOZ,www.envoz.nl,BARENDRECHT,Donk 7A,2991 LE,2008-11-04,,,,ok,-2,2,4,+diploma -\bvca\b
HDGM,www.hdgm.nl,WOUWSE PLANTAGE,Bleijdenhoeksestraat 3,4725 SW,2019-01-23,,,,ok,-2,1,3,+crkbo -ehbo
Het Effectieve Werken B.V.,www.heteffectievewerken.nl,Tubbergen,Velduil 10,7651 GM,2022-06-28,,,,ok,-2,6,8,+praktijkopdracht +beoordeling -certificaat van deelname|b -eendaagse|1-?daagse|tweeda
Inventas ,https://inventas.nl,Nuenen,Spegelt 74,5674 CD,2023-08-03,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-2,2,4,+beoordeling -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Kader Academy B.V.,www.kader.nl,Zeist,Dijnselburgerlaan 2,3705 LP,2022-03-11,,,,ok,-2,2,4,+diploma -\bvca\b
Landelijk Instituut Vertrouwenspersonen,https://www.livp.nl,Amersfoort,Agolweg 15,3821 BG,2022-02-25,,,,ok,-2,4,6,+crkbo +toetsing -het oranje kruis|certech|i
Logavak Opleidingsgroep,www.logavak.nl,AMSTERDAM ZUID-OOST,Spaklerweg 79,1114 AE,2013-08-13,,,,ok,-2,4,6,+\boer\b +studiebelasting -het oranje kruis|certech|i
Quercus Energy Technicians BV ,https://www.qet.nl ,Ermelo ,Harderwijkerweg 141,3852 AB,2023-01-30,,,,ok,-2,2,4,+diploma -\bbhv\b
Stichting Vakopleiding Techniek,www.vakopleidingtechniek.nl,CUIJK,Het Riet 7,5431 NL,2012-02-20,,,,ok,-2,2,4,+diploma -\bvca\b
Stichting Vakopleidingen Metaal West-Brabant ,https://www.vakopleidingmetaal.nl/ ,Oudenbosch,Bosschendijk 219,4731 DD,2024-07-16,,,,ok,-2,2,4,+diploma -\bvca\b
VCANederland,www.vcanederland.nl,APELDOORN,Wilmersdorf 50,7327 AC,2016-04-26,,,,ok,-2,2,4,+diploma -\bvca\b
Apis Academy B.V.,https://apis-academy.nl,Nijkerk,Westkadijk 10c,3861 MB,2025-02-21,,,,ok,-3,2,5,+studiebelasting -certificaat van deelname|b
ARQ IVP,https://ivptraining.arq.org/,DIEMEN,Nienoord 5,1112 XE,2010-10-01,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-3,1,4,+crkbo -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
B-Mind,https://www.bmind.nl/,Eindhoven,Strausslaan 1,5653 AJ,2022-04-18,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
Betonvereniging,www.betonvereniging.nl,Gouda,Tielweg 3,2803 PK,2024-10-14,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
Data Science Partners,https://datasciencepartners.nl,Hilversum,Larenseweg 216,1223 AB,2022-02-21,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
De Bewustzijnsfabriek,https://debewustzijnsfabriek.nl/,,,,2026-05-21,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
EFTiN,www.eftin.nl,Eindhoven,Jacob Reviuslaan 5,5644 TP,2022-08-31,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
Jeugdprofessionals Nederland Opleiden,https://www.jeugdprofessionalsnederland.nl/,MEPPEL,Blankestein 410,7943 PH,2017-09-19,,,,ok,-3,2,5,+studiebelasting -certificaat van deelname|b
Learncare Academy,www.learncare.nl,Zeewolde,Gildenveld 24D,3892DG,2017-11-27,,,,ok,-3,4,7,+studiebelasting +diploma -het oranje kruis|certech|i -incompany training(?!s?pro
Nederlands Debat Instituut,www.debatinstituut.nl,HILVERSUM,Frans Halslaan 57,1213 BK,2017-11-09,,,,ok,-3,2,5,+meerdaagse leergang|leerga -certificaat van deelname|b
Robin Stevens Training,www.robin-stevens.nl,Putten,Kerkplein 35,3881 DH,2023-03-27,,,,ok,-3,3,6,+crkbo +diploma -certificaat van deelname|b -incompany training(?!s?pro
Shake Academy (vh Mark Bongers Academy),www.markbongers.nl,Uden,Loopkantstraat 11,5405 NB,2022-03-22,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
Slouwerhof Academy,www.slouwerhof.nl,AKKRUM,De Parse 2,8491 PJ,2022-05-31,,,,ok,-3,0,3,-ehbo
Speechen.nl,www.speechen.nl,Amsterdam,Schakelstraat 2,1014 AW,2022-10-25,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
TalentFirst Nederland,www.talentfirst.nl,Amsterdam,Javakade 77,1019SZ,2021-08-25,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
Total Health Opleidingen BV,www.totalhealth.eu,Breda,Weidehek 34,4824 AS,2026-02-23,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
Vijfhart IT-Opleidingen,www.vijfhart.nl,Velp,Arnhemsestraatweg 33,6881ND,2021-06-10,,,,ok,-3,0,3,-eendaagse|1-?daagse|tweeda
@The Academy ,www.the-academy.nl,Eindhoven,Paradijslaan 40,5611KP,2020-11-13,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-4,2,6,+studiebelasting -certificaat van deelname|b -incompany training(?!s?pro
ARTRA,www.artra.nl,ARNHEM,"Utrechtseweg 310, gebouw B42", 6812 AR,2019-04-10,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-4,0,4,-eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
ASPD Scholing,www.aspdscholing.nl,WIJNANDSRADE,Hellebroekerweg 41,6363 AB,2018-01-01,,,,ok,-4,0,4,-\bbhv\b
Babel,www.babel.nl,Utrecht,Nieuwegracht 94,3512 LX,2014-02-14,,,,ok,-4,2,6,+beoordeling -certificaat van deelname|b -incompany training(?!s?pro
@The Academy btw vrij bv,www.the-academy.nl,Eindhoven,Paradijslaan 40,5611KP,2024-02-07,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-4,2,6,+studiebelasting -certificaat van deelname|b -incompany training(?!s?pro
Edumia B.V.,https://www.edumia.nl,'s-Hertogenbosch,Hambakenwetering 1,5231 DD,2021-01-07,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-4,0,4,-eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Flux Groep B.V.,https://academy.flux.nl/,AMSTERDAM,Krijn Taconiskade 282,1087 HW,2020-10-13,,,,ok,-4,0,4,-eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
INT B.V.,www.intservices.nl,Vlaardingen,James Wattweg 20,3133 KK,2022-03-14,,,,ok,-4,0,4,-\bvca\b
Kiwa Expert BV,https://www.kiwa.com/nl/nl/markten/opleiding-en-training/ ,Apeldoorn,Wilmersdorf 50,7327 AC,2024-01-01,,,,ok,-4,6,10,+portfolio +leeruitkomsten -\bvca\b -het oranje kruis|certech|i
Kiwa Training,www.kiwa.com,Apeldoorn,Wilmersdorf 50,7327 AC,2021-07-06,,,,ok,-4,2,6,+portfolio -het oranje kruis|certech|i
Kiwa Training & Development,https://www.kiwa.com/nl/nl/markten/opleiding-en-training/ ,Apeldoorn,Wilmersdorf 50,7327 AC,2023-12-01,,,,ok,-4,6,10,+portfolio +leeruitkomsten -\bvca\b -het oranje kruis|certech|i
MedischInstituut (handelsnaam Instituut Memo),medischinstituut.nl,Zoetermeer ,Storkstraat 6,2722 NN,2016-09-02,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-4,3,7,+crkbo +diploma -\bbhv\b -ehbo
Molijn Training,www.molijntraining.nl,Utrecht,Daltonlaan 100,3584 BJ,2014-06-27,,,,ok,-4,0,4,-eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Purple Monkey Breinonderwijs,www.purplemonkey.nl,Vleuten,Nieuwe Vaart 1c,3451 AH,2024-06-18,,,,ok,-4,0,4,-eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
SkillsTown,https://www.skillstown.com/,EINDHOVEN,Bogert 31-14,5612 LX,2018-08-16,,,,ok,-4,0,4,-\bbhv\b
STE Languages,www.ste.nl,EINDHOVEN,Aalsterweg 3,5615 CA,2009-06-01,,,,ok,-4,2,6,+eindtoets -certificaat van deelname|b -incompany training(?!s?pro
Taalswitch BV,www.taalswitch.nl,Enschede,Hengelosestraat 60,7514 AJ,2022-04-18,,,,ok,-4,0,4,-\bvca\b
Talen Training Centrum B.V.,https://talentraining.nl,Soest,Burg. Grothestraat 61,3761 CL,2023-12-28,,,,ok,-4,0,4,-\bvca\b
VHIC (Van Heijst Information Consulting) Faculty B.V.,www.vhic.nl,RIJSWIJK,Polakweg 23,2288 GG,2018-06-11,,,,ok,-4,4,8,+studiebelasting +meerdaagse leergang|leerga -certificaat van deelname|b -eendaagse|1-?daagse|tweeda
Westhaghe Nederland BV,www.westhaghe.com,Amsterdam,Kingsfordweg 151,1043 GR,2022-03-22,,,,ok,-4,2,6,+beoordeling -certificaat van deelname|b -incompany training(?!s?pro
Wilde Kastanje Training & Opleiding,www.wildekastanje.nl,CULEMBORG,Goilberdingerstraat 2,4101 BP,2011-02-03,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,-4,2,6,+beoordeling -certificaat van deelname|b -incompany training(?!s?pro
YEARTH Academy,www.yearth.nl,NAARDEN,Gooimeer 9,1411 DD,2016-11-01,,,,ok,-4,0,4,-eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Ynnergy,www.ynnergy.nl,Den Bosch,Vivaldistraat 35,5216EK,2022-03-28,,,,ok,-4,1,5,+crkbo -certificaat van deelname|b
