Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Scenariovakschool,Ja,"TOETS 1: eigen docenten + externe beoordelaar toetsen het werk: 'een formele beoordelingscommissie evalueert het eindwerk, bestaande uit twee docenten van de school en een extern commissielid' (https://www.scenariovakschool.nl/opleiding). TOETS 2: opleiding duurt 5 semesters / 2,5 jaar, ruim > 2 weken. TOETS 3: particuliere vakschool, cursusgeld €3.500/jaar (jaar 1-2) en €1.750 (jaar 3), geen publieke bekostiging. TOETS 4: kernproduct is geschreven werk (scenario's/scripts): 10 minuten scenario, 30 minuten script, eindscript 50-100 minuten, progressief beoordeeld door docenten en mentoren. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Media / scenarioschrijven (creatieve schrijfopleiding)
Stichting Academie voor Ambulancezorg,Ja,"TOETS 1: eigen organisatie + praktijkopleider beoordelen zelf: 'Je bent geslaagd als je beide fases succesvol hebt afgesloten en de Academie en de praktijkopleider van jouw RAV ervan overtuigd zijn dat de EPA's jou zijn toevertrouwd' (https://www.academievoorambulancezorg.nl/opleiding/ambulanceverpleegkundige-avp/). Praktijkassessments + portfolio: 'Op het einde van fase 1 en fase 2 wordt een praktijkassessment afgenomen. Hiermee verwerf je datapunten voor je portfolio.' TOETS 2: AVP-opleiding duurt 7-8 maanden (23 lesdagen), ruim > 2 weken. TOETS 3: Stichting gefinancierd door de ambulancesector (RAV's), geen publiek bekostigd onderwijsbudget (OCW/DUO) - particulier/branchegefinancierd. TOETS 4: zorg/welzijn is sterke sector-fit; naast portfolio-datapunten is er een 'verwerkingsopdracht' met voorbereiden, uitvoeren en evalueren van een case-bespreking (bron: zoekresultaten academievoorambulancezorg.nl). — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Zorg (ambulancezorg-opleidingen)
Stichting Insurance Business Academy,Ja,"TOETS 2: 'In 15 lesdagen, verdeeld over acht maanden, krijg je van diverse experts en ervaren docenten een samenhangend lesprogramma aangeboden' (https://www.insurancebusinessacademy.nl/informatie/) - ruim > 2 weken. TOETS 4: geschreven eindproduct is expliciet vereist: 'het maken van een portfolio en het schrijven van een essay', met als eis 'een voldoende of hoger voor je portfolio inclusief essay en voor het afsluitend assessment'. TOETS 3: Stichting is een branche-initiatief van verzekeraars (FGD, Vrieling, ASR) en fonds FB Oranjewoud, met NHL Stenden als partner voor het microcredential; het is de particuliere stichting die de opleiding zelf verzorgt en int (cursusgeld €5.500), niet de bekostigde hogeschool zelf. TOETS 1: let op - de site zelf noemt niet expliciet WIE het portfolio/essay beoordeelt (eigen docenten vs. NHL Stenden-examinatoren); dit is de zwakste schakel in het bewijs en verdient navraag voor het definitief wordt ingezet. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Financieel / verzekeringsbranche (post-hbo)
Stichting Postdoctorale Beroepsopleiding GGZ Amsterdam,Ja,"POORT 1: eigen examencommissie beoordeelt eindwerkstukken. Citaat uit Opleidingsplan Orthopedagoog-Generalist (RINO Amsterdam - St. PDO GGZ Amsterdam, versie 21-7-2022, rino.nl): 'De Examencommissie van de BIG-opleidingen controleert en bepaalt of deelnemers voldoen aan de eisen ten aanzien van kennis, vaardigheden en competenties (...) en waarborgt de kwaliteit van de beoordeling'; eindwerkstukken worden door twee examinatoren onafhankelijk beoordeeld. POORT 0b: meerjarige BIG-postdoctorale opleidingen (GZ-psycholoog, Orthopedagoog-Generalist), ruim >2 weken. POORT particulier: stichting, geen bekostigde hogeschool/universiteit. POORT 4: zorg/GGZ = sterke sector, met portfolio's, casuïstiekverslagen en eindwerkstukken. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,zorg/GGZ (postdoctoraal)
Stichting vertalersvakschool Amsterdam,Ja,"POORT 1: eigen docenten (werkende literair vertalers) beoordelen het ingeleverde vertaalwerk wekelijks. Site (vertalersvakschool.nl): tweejarig programma met wekelijkse vertalingen van 500-1.000 woorden, geannoteerde vertalingen en een afsluitende vertaling in jaar twee; 'Work is evaluated by experienced practicing literary translators' die 'individual feedback' geven. POORT 0b: tweejarig traject, ruim >2 weken. Particulier: stichting, geen bekostigde instelling. POORT 4: talen = sterke sector, kernproduct is beoordeeld geschreven (vertaal)werk. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,talen/vertalen
Wedding Business Academy Nederland,Ja,"TOETS 1 (poort 0, geslaagd): eigen beoordeling van ingeleverd werk. Bronparafrase (weddingbusinessacademy.nl, directe fetch blokkeerde op certificaatfout, onderstaande komt uit een gerichte zoekopdracht op de site): 'On submitted assignments, you receive 1:1 feedback... upon achieving sufficient results on the assignments, you receive 2 final exam assignments, and upon achieving a minimum score of 6 on the assignments, you receive the recognized diploma Professioneel Weddingplanner.' Let op: geen letterlijk NL-citaat kunnen ophalen door een cert-fout op weddingbusinessacademy.nl, alleen search-snippet beschikbaar als bewijs. TOETS 2 (poort 0b, geslaagd): traject duurt volgens meerdere bronnen (nationaleberoepengids.nl, search-snippet) 5 maanden, ruim boven 2 weken. TOETS 3 (particulier, geslaagd): CRKBO-geregistreerd, privaat bedrijf, geen publieke bekostiging. TOETS 4 (sector, marginaal geslaagd): schriftelijke opdrachten zijn zakelijke documenten (draaiboeken, offertes, contracten) binnen ondernemerschap/evenementenorganisatie - niet expliciet op de STERK-lijst maar wel vergelijkbaar met business/management. Bron: https://weddingbusinessacademy.nl/weddingplanner-worden/ en https://www.nationaleberoepengids.nl/weddingplanner/opleiding-omscholen (directe verificatie van het letterlijke citaat op de eigen site is niet gelukt door een TLS-certificaatfout; oordeel Ja is dus op basis van search-engine-samenvattingen, niet zelf gelezen HTML). — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,ondernemerschap / evenementenbranche (weddingplanning)
Vitacademie,Ja,"Poort 0: FAQ (vitacademie.nl/faq) citeert letterlijk 'kan de kerndocent of examencommissie besluiten je de toets in een alternatieve vorm te laten herkansen' - eigen kerndocent/examencommissie beoordeelt. Poort 0b: opleiding Vitaloog duurt '1 jaar doorlooptijd' met 20 lesdagen (vitacademie.nl/opleiding/opleiding-vitaloog). Particulier: ja, private BV/academie. Sectorfit: modules worden afgesloten met verslag, KOBADI-analyse, praktijkopdracht met interviews en eindpresentatie - voldoende geschreven werk, en er is een tweede beoordelaar (kerndocent/examencommissie), dus valt niet onder de eenmanszaak-coaching uitsluiting. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Vitaliteit-/coachopleiding (zorg & welzijn-aanpalend) [RANDGEVAL - check zelf]
HBO Academy,Ja,"Toets 1: particuliere, NVAO-geaccrediteerde hogeschool met eigen docenten en eigen examencommissie ('je kunt een e-mail sturen naar examencommissie@hbo-academy.nl'; docenten verzorgen het onderwijs, hbo-academy.nl). Toets 2: 'De voltijdopleiding Toegepaste Psychologie duurt vier jaar' (hbo-academy.nl/opleidingen/toegepaste-psychologie-voltijd), ruim boven 2 weken. Toets 3: niet-bekostigde/particuliere hogeschool (betaalt volledige collegegeld, geen rijksbekostiging). Toets 4: sectoren Toegepaste Psychologie, Business & Innovation en ICT kennen scripties, papers en praktijkopdrachten (STERK sector-fit). — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Particuliere hogeschool (HBO)
Sonnevelt Opleidingen,Ja,"""Tijdens de opleiding werk je aan je portfolio (reflectieverslag per les en huiswerkopdrachten)"" en diploma-eisen: ""een voldoende voor het portfolio met de huiswerkopdrachten"" plus ""een voldoende voor het examen theorie en praktijk"". Opleiding Leefstijlcoach duurt ""circa 8 maanden (start najaar) of 10 maanden (start voorjaar)"", 15 lesdagen. Geen externe examinerende partij genoemd (BLCN accrediteert alleen) — https://www.sonneveltopleidingen.nl/opleidingen/leefstijlcoach",Ja,"Particuliere aanbieder, onderdeel De Complementair Groep",De Complementair Groep,Leefstijl/vitaliteit-opleider met eigen portfolio-beoordeling en eigen examen; langlopende jaartrajecten
CS Opleidingen,Ja,"""De opleiding Opleiding Casemanager Regie op Verzuim (CROV) bestaat uit het volgende programma met afsluitend een schriftelijk examen en een assessment"" en over het praktijkassessment: ""De beoordeling wordt uitgevoerd door een examinator."" Omvang: ""Circa 140 - 180 uur studiebelasting"", ""7 lesdagen plus examen (klassikaal op locatie)"" — https://cs-opleidingen.nl/opleidingen/casemanager-regie-op-verzuim-crov (Hobeon accrediteert, RSC is register; beoordeling ligt bij CS zelf)",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Opleider casemanagement verzuim en sociale zekerheid (CROV, RCCM, arbeidsdeskundige); eigen schriftelijk examen plus assessment"
The Hague Pathway College (Navitas),Ja,"""Foundation assessments are moderated by appropriately qualified academic staff in the college and overseen by the Head of Learning & Teaching (HLT). All completed assessments should be first marked independently by an experienced member of the teaching team."" — THPC Assessment Policy QS09, https://www.thehaguepathway.nl/wp-content/uploads/2024/05/THPC_CPR-QS09-Assessment-Version-23_01-April-2024.pdf ; eenjarig International Foundation Programme (3 terms) of fast-track (2 terms)",Ja,Particulier pathway college van Navitas (partnership met De Haagse Hogeschool),Navitas,"Internationaal foundation-jaar met coursework, essays en examens, eigen docenten beoordelen; Engelstalig, mogelijke brug naar Navitas UK/wereldwijd"
Academie voor Geesteswetenschappen,Ja,"""De scriptie moet door de scriptiebegeleider op alle bovengenoemde onderdelen met een voldoende worden beoordeeld."" en ""Het vervaardigen van de scriptie vindt plaatst onder de verantwoordelijkheid van een vakdocent, die de begeleider is."" — Scriptiehandleiding AvG, https://academiegeesteswetenschappen.nl/wp-content/uploads/2026-01-13_AvG_Scriptiehandleiding.pdf ; meerjarige deeltijdopleidingen op post-hbo-niveau (o.a. Geestelijk Begeleider) met verplichte stage en scriptie",Ja,"Particuliere stichting, niet bekostigd (DUO ho_erkenningen_rio: NIET_BEKOSTIGD)",Zelfstandig,"Post-hbo opleidingen zingeving, spiritualiteit en geestelijke verzorging; scriptie beoordeeld door eigen vakdocenten"
HTI Amsterdam (Hoger Technisch Instituut),Ja,"Eigen examenreglement per opleiding: ""Om te slagen dient de kandidaat of student (eventueel na een herexamen): a. voor modulen van hoofdvakken tenminste een 5,5 te behalen"" met eigen HTI-diploma en cijferlijst ""op het digitale leerplatform van het HTI gepubliceerd"" — Examenreglement Bouwkunde, https://www.hti-opleidingen.nl/hti/examenreglementen ; meerjarige deeltijd hbo-bouwopleidingen (Bouwkunde, Beton en Staal, Bouwkosten, Bouwmanagement) met individueel onderzoek en afstudeerproject",Ja,"Particuliere opleider (85+ jaar), deeltijd hbo bouw",Zelfstandig,"Deeltijd technische hbo-opleidingen bouw; eigen examens, eigen diploma, afstudeerprojecten"
Saba University School of Medicine,Onbekend,"Niet gevonden wie beoordeelt: site noemt ""Expert faculty, all holding either an MD or a PhD"" en een ""4 Year Medical Program"" (saba.edu/academics) maar geen expliciete beoordelingspassage; USMLE (extern) geldt alleen voor licentie, coursework-beoordeling niet gedocumenteerd op de site",Ja,"Particuliere medische school op Saba (Caribisch Nederland), eigenaar R3 Education",R3 Education,Engelstalige MD-opleiding voor m.n. Noord-Amerikaanse studenten; groot geschreven volume waarschijnlijk maar citaat ontbreekt
International University of Applied Sciences Amsterdam (IUA),Onbekend,"Niet gevonden wie beoordeelt. Wel eigen bachelor/master Islamitische Theologie en ""IUA wordt niet bekostigd door de overheid"" — https://www.i-ua.nl/ ; geen examenreglement of beoordelingsinformatie online",Ja,Niet bekostigd (DUO ho_erkenningen_rio: NIET_BEKOSTIGD; eigen site bevestigt),Zelfstandig,"Islamitische theologie (bachelor, master, pre-master); kleine instelling, beoordelaar niet vindbaar"
OVD Opleidingen,Ja,"""Elke kerntaak wordt afgesloten met een toets of een werkstuk."" en ""Het aantal examens wordt benoemd in het Examenreglement."" plus ""Bij voldoende resultaat voor zowel de theorie als de praktijk ontvangt de deelnemer een officieel erkend mbo2-diploma Retailmedewerker."" — https://ovd-opleidingen.nl/opleiding/mbo-2-verkoper-supermarkt/ ; erkende mbo-opleidingen niveau 2-4 (retail/food), geen externe examinerende partij genoemd",Ja,"NRTO-lid, particuliere mbo-opleider retail (50 jaar)",Zelfstandig,"Erkende particuliere mbo-opleider retail/supermarkt; eigen toetsen en werkstukken per kerntaak, eigen examenreglement"
Detex Opleidingen,Onbekend,"Niet gevonden wie beoordeelt. Wel meerdaagse leergangen met diploma (o.a. Leergang Modemarketing) en eigen trainers: ""Onze trainers komen allemaal uit de mode en textiel branche"" — https://www.detex.nl/ ; examinering niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Mode-retailopleider met leergangen en diploma's; beoordelaar niet vindbaar
Helix Academy,Onbekend,"Niet gevonden wie beoordeelt. Aanbod vastgoed/techniek/NEN 2767 met e-learnings, eendaagse workshops en leerlijnen; ""Onze docenten zijn innovatieve en enthousiaste experts in hun vakgebied"" — https://www.helixacademy.nl/ ; examinering en trajectduur onduidelijk",Ja,NRTO-lid,Zelfstandig,"Vastgoedonderhoud/inspectie-opleider (NEN 2767, BOEI); beoordelaar en poort 0b niet vast te stellen"
NL Mode Academie,Onbekend,"Niet gevonden wie beoordeelt. Wel eigen erkende opleidingen: ""Vakspecialist Ondernemer (1 jaar) - Je mbo-4 diploma binnen 1 jaar!"" en designer-/stylingopleidingen met portfolio — https://www.nlmodeacademie.nl/ ; examinering niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Mode-opleider met mbo-4-traject en portfolio-opleidingen; beoordelaar niet vindbaar
NSOB (Nederlandse School voor Openbaar Bestuur),Ja,"""De presentaties werden op deze middag door een jury beoordeeld."" — jury o.l.v. decaan prof.dr. Mark van Twist en directeur-bestuurder NSOB, eindopdracht Leeratelier Strategie — https://www.nsob.nl/over-nsob/actualiteiten/14e-uitvoering-leeratelier-strategie-afgerond ; leerateliers duren 9 maanden (https://www.nsob.nl/opleidingen/opleidingsaanbod/leeratelier-toezicht-en-naleving). Let op: de MPA-masteropleiding stopt (""de opleiding MPA na het afstuderen van de huidige lichting studenten niet wordt voortgezet"" — nsob.nl)",Ja,"Private B.V. (Nederlandse School voor Openbaar Bestuur BV), betalende deelnemers uit de publieke sector",Zelfstandig,Postacademisch bestuurskunde; leerateliers 9 mnd met essays/eindopdrachten beoordeeld door eigen jury en kerndocenten
"Kyden (CPO-Kyden, uitvoerder Beroepsopleiding Advocaten)",Ja,"""CPO/Dialogue wordt verantwoordelijk voor het (doen) verzorgen van het onderwijs, de examinering en de feitelijke organisatie van de opleiding, inclusief leermiddelen en selectie, opleiding en evaluatie van docenten."" — https://rechtennieuws.nl/38494/cpodialogue-uitvoeringsorganisatie-van-nieuwe-beroepsopleiding-advocaten/ ; CPO-Kyden is de aangestelde uitvoeringsorganisatie (https://beroepsopleidingadvocaten.nl/). Nuance: de examencommissie (NOvA) stelt toetsnormen vast en stelt uitslagen vast; het nakijkwerk (o.a. vak Schriftelijke vaardigheden) ligt bij beoordelaars binnen de uitvoering",Ja,"Privaat opleidingsbedrijf (fusie CPO en Dialogue), betaald door advocatenkantoren",Zelfstandig,Beroepsopleiding Advocaten (meerjarig) + postacademisch juridisch onderwijs; groot vast nakijkvolume schriftelijke toetsen
Dentallect,Ja,"""Dentallect is door de Minister van Onderwijs, Cultuur en Wetenschap officieel erkend om de mbo-4 opleiding Tandartsassistent aan te bieden."" met ""zes deelcertificaten"" gekoppeld aan examens — https://www.dentalinfo.nl/kennis/dentallect-erkend-opleiding-mbo-4-tandartsassistent/ ; sinds 2022 door Certiforce gecertificeerd als leverancier van valide exameninstrumenten voor de eigen opleiding (https://dentallect.nl/examenleverancier-mbo-4/)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31EA); NRTO-keurmerk,Zelfstandig,"Particulier rijkserkend mbo, tandartsassistenten (BBL + derde leerweg); eigen exameninstrumenten"
Auxilio Academie,Ja,"""In slechts 11 maanden haal je een erkend mbo-niveau 4 diploma"" (doktersassistent) — https://auxilio.nl/academie/ ; erkende mbo-instelling in DUO-register (OIE 32DN), opleiding tot gediplomeerd triagist duurt tot 12 maanden (https://auxilio.nl/academie/diploma-triagist/)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32DN); CRKBO,Zelfstandig,"Particulier rijkserkend mbo, medisch-administratief (doktersassistent, triagist eerstelijnszorg)"
EuroCollege School of Management,Ja,"""In 2 jaar je erkende middelbare hotelschool diploma"" — https://www.eurocollege.nl/middelbare-hotelschool/ ; kleinschalige particuliere school met versnelde erkende mbo- en hbo-opleidingen (hotel/events, real estate, AI & business), vestigingen Amsterdam/Rotterdam/Utrecht/Groningen",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32JG); particuliere hogeschool + mbo,Zelfstandig,Particulier versneld mbo+hbo hospitality/management; meerjarige trajecten met verslagen en eigen toetsing
GOC,Ja,"BBL mbo-opleiding Grafisch operator: kosten ""€ 6.950 (excl. btw, inclusief examenkosten, generieke vakken en mbo-inschrijfkosten)"" — https://goc.nl/bbl/ ; erkende mbo-instelling in DUO-register (OIE 26CT), opleidingskundigen ondersteunen scholen bij examinering",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 26CT); brancheopleider grafimedia sinds 1925,Zelfstandig,Particulier rijkserkend mbo grafimedia/sign/verpakking (BBL); eigen examens incl. generieke vakken
Gelders Opleidingsinstituut,Ja,"""Je behaalt het MBO-4 diploma Medisch Pedicure als je alle examens hebt behaald en je stage (...) succesvol hebt afgerond. De examencommissie kan een vrijstelling voor een examen geven"" — https://geldersopleidingsinstituut.nl/opleidingen/medisch-pedicure-mbo-diploma/medisch-pedicure-mbo-september ; WEB-erkende mbo-opleidingen, CREBO-ingeschreven (https://geldersopleidingsinstituut.nl/informatie/erkenningen)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 24CE),Zelfstandig,"Particulier rijkserkend mbo uiterlijke verzorging (schoonheidsspecialist, medisch pedicure); eigen examencommissie"
KIKI Training & Coaching,Ja,"""Bij afronding van alle examens met een voldoende ontvang je het erkende MBO-2 diploma Helpende Zorg en Welzijn"" in 6-8 maanden, met examens Nederlands, rekenen en een praktijkexamendag — https://www.viaviela.nl/gastouders/mbo-kiki-gastouderopleiding/ ; eigen mbo-keuzedelen (https://kiki-s.nl/mbo-keuzedelen/)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32CV),Zelfstandig,Particulier rijkserkend mbo kinderopvang/gastouders (mbo-2 Helpende Zorg en Welzijn)
Litop,Ja,"""Litop is een gevalideerde examenleverancier voor het mbo."" met digitale gevalideerde examens voor het beroepsgerichte deel — https://www.litop.nl/examens/ ; erkende mbo-instelling (OIE 31GU), BBL-opleidingen procestechniek/logistiek (o.a. Mechanisch operator)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31GU),Zelfstandig,Particulier rijkserkend mbo procestechniek/logistiek (BBL); zelf gecertificeerd examenleverancier (VAPRO-achtig profiel)
MBO4 Nederland (MBO4LeisureSports),Ja,"""Door het ministerie erkende MBO-opleidingen 'Sport & Bewegen' - op niveau 3 en 4"", ""kleinschalige, particuliere opleiding"", duur circa 3 jaar — https://mbo4leisuresports.nl/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30AD),Zelfstandig,Particulier rijkserkend mbo Sport & Bewegen (outdoor/leisure); meerjarig traject met eigen toetsing
ORGB Opleidingen,Ja,"""Met erkenning van het Ministerie van Onderwijs, Cultuur en Wetenschap verzorgen wij wettelijke examens en reiken wij wettelijk erkende diploma's uit"" — https://www.orgb.nl/over-ons/ ; eigen OER's per opleiding gepubliceerd (https://orgb.nl/oers/)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (BRIN/OIE 30XG),Zelfstandig,"Particulier rijkserkend mbo niveau 1-4 breed (logistiek, retail, horeca, bouw, facilitair) + praktijkleren vso/pro"
Ponsioen Opleiding en Advies,Ja,"Erkend door het ministerie van OCW voor 6 mbo-kwalificaties en een mbo-certificaat (laagspanning en gas-/water-/warmtedistributie): ""Het mbo-diploma en -certificaat dat POA uitreikt (...) wordt erkend door de overheid en door de branche"" — https://www.ponsioen.biz/mbo/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31HZ),Zelfstandig,Particulier rijkserkend mbo energie-infratechniek (BBL); eigen diplomering
GO-College,Ja,"Door het ministerie erkende particuliere mbo-instelling (BRIN 30VR) met BBL-opleidingen techniek niveau 3-4, af te ronden in 1-1,5 jaar (o.a. Eerste monteur elektrotechnische installaties, Technicus mechatronica) — https://gocollege.nl/over-ons/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30VR),Zelfstandig,"Particulier rijkserkend mbo techniek (elektro/mechatronica, BBL); eigen diplomering"
VanDoen Academie,Ja,"""de mogelijkheid om de opleiding Verzorgende IG in 18 maanden af te ronden"" via een modulaire leerroute van zes modules met erkende mbo-certificaten niveau 2-3 — https://www.vandoenacademie.nl/mbo-certificaten/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31ZV),Zelfstandig,"Particulier rijkserkend mbo zorg (Verzorgende IG, Helpende Plus); modulair met eigen toetsing"
Huisdier Kennis Instituut,Ja,"""De examens staan onder toezicht van de Commissie Toezicht Examens welke bestaat uit deelnemers van de branche- en belangenorganisaties."" — https://www.huisdierkennis.nl/wat-is-het-hki ; eigen vakopleidingen (o.a. Vakopleiding Hondentrimmen, NLQF niveau 3) met eigen examinering, lid NVE",Ja,"DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30WV); CRKBO, NRTO",Zelfstandig,"Dierverzorging (vakopleiding hondentrimmen e.a.); eigen examens, klein en praktijkzwaar - lage prioriteit"
Evergrow,Onbekend,Niet gevonden wie beoordeelt; geen duidelijke site of examinering vindbaar op eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 30YL),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30YL),Zelfstandig,Onbekend profiel; beoordelaar en aanbod niet vindbaar - bellen of KvK-route
FairField (Fairfield Life & Education),Onbekend,"Niet gevonden wie beoordeelt. Site: ""FairField ontwikkelt duurzaam leiderschap bij operationeel managers"" met erkende mbo-trajecten (tagline ""Training - Coaching - Erkend MBO"") maar geen examinering gedocumenteerd — https://www.fair-field.nl/",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30RV),Zelfstandig,Erkend mbo operationeel management/leiderschap; beoordelaar niet vindbaar
Het Spring Instituut,Onbekend,Niet gevonden wie beoordeelt; site en examinering niet vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 32FP),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32FP),Zelfstandig,Onbekend profiel; beoordelaar niet vindbaar - bellen
Mooiwel Academy,Onbekend,Niet gevonden wie beoordeelt; site en examinering niet vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 32FN),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32FN),Zelfstandig,Vermoedelijk zorg/welzijn; beoordelaar niet vindbaar - bellen
Nieuw MBO,Onbekend,"Erkend voor mbo 2-4 (stewardess/grondsteward niveau 4, beveiliger 2-3) — https://nieuwmbo.nl/nieuw-mbo-erkend-mbo/ ; wie de examens voor de luchtvaartopleiding afneemt is niet gedocumenteerd; beveiligersexamens liggen wettelijk bij SVPB (dat deel valt af)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 29WT),Zelfstandig,Luchtvaartdienstverlener mbo-4 mogelijk interessant; examinering checken (bel-route)
Opleidingsinstituut Thomas,Onbekend,Niet gevonden wie beoordeelt; site en examinering niet vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 24AL),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 24AL),Zelfstandig,Onbekend profiel; beoordelaar niet vindbaar - bellen
WR-College,Onbekend,Niet gevonden wie beoordeelt; site en examinering niet vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 31RG),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31RG),Zelfstandig,Onbekend profiel; beoordelaar niet vindbaar - bellen
Ut Beste,Onbekend,Niet gevonden wie beoordeelt; site en examinering niet vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 32KD),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32KD),Zelfstandig,Onbekend profiel; beoordelaar niet vindbaar - bellen
iMpire Opportunity Center,Onbekend,"Inburgering + opleiding + werk voor statushouders, ""binnen 8-12 maanden een beroepsdiploma op minimaal mbo-2 niveau"" — https://www.impire.nl/ ; wie diplomeert/beoordeelt is niet gedocumenteerd (inburgeringsexamens liggen bij DUO, extern)",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31LG),Zelfstandig,"Inburgering/entree-mbo; beoordelaar onduidelijk, klein"
SF-S,Onbekend,Niet gevonden wie beoordeelt; geen site of profiel vindbaar in eerste zoekronde. Wel erkende niet-bekostigde mbo-instelling in DUO (OIE 31RF),Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 31RF),Zelfstandig,Onbekend profiel; beoordelaar niet vindbaar - bellen
IPro Safety,Onbekend,"Niet gevonden wie beoordeelt; vermoedelijk veiligheidsopleider (marktgroep 1, externe certificering) maar geen citaat gevonden in eerste zoekronde. DUO OIE 30YY",Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 30YY),Zelfstandig,"Vermoedelijk veiligheid/safety; lage prioriteit, eerst citaat zoeken of bellen"
NHA (Nationale Handelsacademie),Ja,"Thuisstudie-opleider met 700+ opleidingen incl. door OCW erkende beroepsopleidingen; ""Persoonlijke begeleiding van vakdocenten uit de praktijk"" — https://www.nha.nl/ ; huiswerk wordt door de docent nagekeken en beoordeeld met een cijfer, doorgaans binnen 1-2 dagen, via leeromgeving Plaza (reviews: https://www.cursusreviews.nl/reviews/nha/)",Ja,"NRTO-lid, particulier thuisstudie-instituut (Panningen)",Zelfstandig (moeder van o.a. Buddywise),Groot thuisstudie-instituut; erkende beroepsopleidingen + vo-staatsexamentrajecten; structureel docent-nakijkwerk op ingestuurd huiswerk
Auxilium Academy,Ja,"Post-hbo opleiding tot mantelzorgmakelaar van 10 maanden met beoordeelde opdrachten: ""In 2025/2026 heb ik via de woensdaggroep de opleiding tot mantelzorgmakelaar gevolgd (...) Na tien maanden"" en ""de opbouw van de opdrachten en het contact met docenten en studiegenoten"" — https://www.auxiliumacademy.nl/",Ja,NRTO-keurmerk,Zelfstandig,"Post-hbo mantelzorgmakelaar/casemanagement; opdracht-gedreven met docentbeoordeling, klein"
EVC Centrum Nederland,Ja,"""Wij brengen jouw vaardigheden en competenties in kaart en valideren deze via een EVC-traject of Skillspaspoort."" met eigen portfoliobegeleiders en assessoren die portfolio's beoordelen — https://www.evc-nederland.nl/",Ja,NRTO-lid; erkend EVC-aanbieder,Zelfstandig,EVC/ervaringscertificaten: eigen assessoren beoordelen portfolio's van kandidaten; beoordelingsvolume is het kernproduct
GO opleidingen (GO B.V.),Onbekend,"Leergangen van 12-15 lesdagen over maanden (Leergang Informatieadviseur, SOD-I ""De basisopleiding (15 dagen)"") — http://goopleidingen.nl ; wie examineert/beoordeelt is niet gedocumenteerd",Ja,NRTO-lid,Zelfstandig,Informatiemanagement/archief (SOD-leergangen); beoordelaar niet vindbaar - bellen
